x,y,z
-0.2844523,0.061837457,0.2
0.2508834,0.3409894,0
0.29151943,-0.09010601,0
-0.13780919,0.054770317,0.2
0.23321554,0.24734983,0.2
-0.18197879,-0.113074206,0.2
-0.18551236,-0.13250883,0.2
0.3074205,-0.1024735,0.2
0.022968197,-0.22968198,0
0.26678446,0.15724382,0.2
0.026501767,0.25441697,0
0.10777385,0.18197879,0
0.093639575,0.2508834,0.2
-0.3162544,0.18374558,0
-0.008833922,-0.053003535,0
-0.21908127,0.0795053,0.08421053
-0.2385159,0.04770318,0
-0.29858658,0.09893993,0
0.042402826,0.09187279,0.2
-0.32332155,0.09187279,0.2
-0.36572438,0.23498233,0.2
0.044169612,0.077738516,0
0.31095406,-0.044169612,0
-0.037102472,-0.14487633,0
-0.007067138,0.0795053,0.16842106
-0.08657244,0.077738516,0.05263158
-0.022968197,-0.34628975,0.06315789
-0.077738516,0.077738516,0.094736844
0.028268551,-0.24734983,0
-0.17491166,0.037102472,0
0.33215547,-0.13427562,0
-0.13780919,-0.13074204,0.2
0.22614841,0.31448764,0.010526316
-0.30388692,0.11660777,0.2
0.056537103,-0.15371025,0.14736842
-0.23498233,-0.08127209,0.17894737
0.019434629,0.21731448,0.2
-0.33568904,0.17137809,0.2
-0.09893993,0.03533569,0
0.056537103,-0.15371025,0.031578947
-0.03180212,-0.08127209,0.2
0.24028268,0.037102472,0
-0.1466431,0.038869258,0
0.24028268,-0.01590106,0.1368421
-0.27738515,0.09010601,0.2
0.017667845,-0.01590106,0.2
-0.007067138,0.08480565,0.07368421
0.3162544,0.04770318,0.2
-0.28798586,0.022968197,0.021052632
-0.08480565,-0.23674911,0
0.3091873,0.1024735,0
0.33568904,-0.044169612,0.2
-0.22438163,0.008833922,0.2
-0.22438163,0.058303885,0
0.1943463,0.32685512,0.2
0.29681978,-0.021201413,0
0.3763251,-0.23144877,0.2
0.33392227,-0.29681978,0.2
0.058303885,-0.13957597,0.010526316
0.021201413,-0.12014134,0
-0.15017667,-0.16784452,0.2
-0.13427562,-0.08657244,0.11578947
-0.25618374,0.024734983,0.2
-0.34275618,0.21908127,0.2
0.37809187,-0.24558304,0.2
-0.13957597,0.028268551,0
-0.03180212,-0.11484099,0
0.39399293,-0.33392227,0
0.32685512,-0.03180212,0.2
0.01590106,-0.08657244,0.2
-0.024734983,-0.30212015,0
0.03180212,0.13957597,0.2
0.021201413,-0.1024735,0.2
0.09893993,0.12190813,0.16842106
-0.1696113,-0.072438166,0.2
-0.005300353,-0.06537102,0.2
0.33745584,-0.012367492,0
0.26855123,0.35512367,0.2
0.28798586,0.074204944,0
-0.2279152,0.06713781,0
0.31272084,0.13250883,0.010526316
-0.14487633,-0.12190813,0
0.042402826,0.24204947,0
0.25441697,0.037102472,0.2
0.30212015,0.09893993,0.2
0.24381626,0.2632509,0.031578947
0.021201413,0.09540636,0
-0.39575973,0.25795054,0
0.34275618,-0.03180212,0.10526316
0.09893993,0.1466431,0
-0.1360424,-0.08127209,0.14736842
0.19611308,0.23674911,0.10526316
0.014134276,-0.28091872,0
-0.13250883,-0.007067138,0.2
0.010600707,0.10600707,0
0.049469966,0.21731448,0.2
0.040636044,-0.24381626,0.17894737
-0.30388692,0.1590106,0
-0.17844523,-0.12720849,0.2
-0.09893993,-0.2932862,0
0.030035336,-0.29858658,0.2
0.33215547,-0.16431095,0
0.31095406,-0.13427562,0.2
-0.33215547,0.109540634,0.094736844
0.27031803,0.14310955,0.2
0.019434629,-0.2932862,0.2
-0.017667845,-0.1254417,0.2
-0.026501767,-0.11837456,0
-0.3162544,0.2632509,0.2
-0.21024735,-0.13074204,0.07368421
0.3763251,-0.22438163,0.021052632
0.040636044,0.04770318,0.2
0.06713781,0.088339224,0.2
-0.3533569,0.16077739,0.2
0.3869258,-0.31448764,0
-0.30035335,0.113074206,0.2
-0.2614841,0.06537102,0.2
0.25441697,-0.01590106,0.2
0.2844523,-0.26678446,0.042105265
0.30388692,-0.2508834,0
0.3621908,-0.14487633,0.031578947
-0.11660777,-0.31448764,0.010526316
-0.36395758,0.1696113,0.021052632
-0.2385159,-0.07597173,0.094736844
0.34275618,-0.25265017,0.2
-0.08657244,-0.18551236,0
0.34452298,-0.037102472,0.042105265
-0.18904594,0.06360424,0.2
-0.021201413,-0.33745584,0.2
-0.21201414,0.03180212,0
-0.16784452,-0.18551236,0
0.2932862,0.037102472,0.2
0.08303887,0.019434629,0
-0.113074206,-0.19081272,0
-0.053003535,-0.3162544,0.2
0.17491166,0.35865724,0.10526316
-0.045936394,-0.295053,0
-0.27915195,0.13427562,0.2
-0.007067138,-0.16254418,0
0.0795053,0.17314488,0
0.22261484,0.088339224,0.010526316
0.21731448,0.25265017,0
0.09540636,0.09717315,0.14736842
-0.03180212,-0.3392226,0
0.34805652,-0.06890459,0
-0.042402826,-0.14310955,0.08421053
0.06890459,-0.06890459,0.16842106
-0.08127209,-0.2844523,0
0.008833922,-0.1590106,0.2
